Run,RunSeed,RunMinDistance_DRAMPPI,RunMinDistance_DRMPPI,RunMinDistance_MPPI,RunMinDistance_RAMPPI,SafetyViolation_DRAMPPI,SafetyViolation_DRMPPI,SafetyViolation_MPPI,SafetyViolation_RAMPPI,Collision_DRAMPPI,Collision_DRMPPI,Collision_MPPI,Collision_RAMPPI,TotalQSigmaInvStageCost_DRAMPPI,TotalQSigmaInvStageCost_DRMPPI,TotalQSigmaInvStageCost_MPPI,TotalQSigmaInvStageCost_RAMPPI,RunMaxComputeTimeMs_DRAMPPI,RunMaxComputeTimeMs_DRMPPI,RunMaxComputeTimeMs_MPPI,RunMaxComputeTimeMs_RAMPPI,AllOthersCollided,DROnlyNoCollision,DRMinDistanceAdvantage
40,1535411295,0.6093406081199646,0.6565840840339661,0.23337185382843018,0.5103124380111694,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.3060979321599,27.003512544557452,20.501140624284744,26.958823611959815,39.79111000080593,19.502881001244532,9.839624002779601,18.321413997909985,False,False,0.047243475914001465
41,175223003,0.2243938148021698,0.6898705959320068,0.23718570172786713,0.544688880443573,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.439724462106824,28.463747223839164,20.44870825856924,29.425595372915268,38.3333620011399,19.04513100089389,11.830041999928653,17.485656000644667,False,False,0.14518171548843384
42,840936862,0.16238144040107727,0.5832623839378357,0.23738567531108856,0.6499571800231934,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.128287417814136,28.345526674762368,20.40279720723629,29.429576927796006,37.06473000056576,18.798805998812895,9.367070997541305,14.913147999322973,False,False,-0.06669479608535767
43,343373188,0.1268237829208374,0.6699386239051819,0.2379123568534851,0.6533488035202026,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.30845939554274,27.083971867337823,20.538036081939936,30.729575822129846,42.683494997618254,19.062567000219133,10.465662002388854,17.728689999785274,False,False,0.016589820384979248
44,1597751082,0.15464091300964355,0.668165922164917,0.22960853576660156,0.6256550550460815,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.40067849867046,27.706708887591958,20.52184685692191,26.850185560062528,33.44927099897177,19.091753001703182,10.695067001506686,14.883669002301758,False,False,0.04251086711883545
45,730359585,0.10975367575883865,0.7092949151992798,0.23740677535533905,0.6910083889961243,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.46443890966475,27.68895024806261,20.475031726062298,26.52324773184955,37.53024500110769,19.003418998181587,10.106460998940747,14.909325996995904,False,False,0.018286526203155518
46,1016641002,0.07168681919574738,0.7080418467521667,0.2348574697971344,0.6656298637390137,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.54417998343706,28.49222533404827,20.541417000815272,28.404995715245605,32.3098230001051,21.631062001688406,19.43988499988336,15.072690999659244,False,False,0.042411983013153076
47,998994690,0.09894025325775146,0.5604309439659119,0.23843559622764587,0.6229628324508667,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.597708608955145,26.14164676144719,20.576605221256614,26.48845017142594,36.09832700021798,18.82740799919702,10.898191001615487,14.958836000005249,False,False,-0.06253188848495483
48,1021240743,0.3330419659614563,0.6809430122375488,0.22879353165626526,0.6512300372123718,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.826239986345172,30.269957473501563,20.448588291183114,26.60903807170689,38.43363399937516,19.06637800129829,11.620835997746326,15.088803000253392,False,False,0.029712975025177002
49,572134801,0.2832772135734558,0.5918265581130981,0.22574634850025177,0.5662919282913208,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.327928829938173,27.197559777647257,20.391123997047544,26.32360903173685,42.60472800160642,18.89130999916233,12.038619999657385,19.19599999746424,False,False,0.025534629821777344
