Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalQSigmaInvStageCost,RunMaxComputeTimeMs
DRMPPI,65,1.83741295337677,0.0,0.0,4.406369358999655,7.57455600250978
DRMPPI,66,1.8243550062179565,0.0,0.0,4.404048428637907,64.49135600269074
DRMPPI,67,1.8734956979751587,0.0,0.0,4.459240311291069,7.248941001307685
DRMPPI,68,1.7979203462600708,0.0,0.0,4.323455551173538,67.78418600151781
DRMPPI,69,1.8603168725967407,0.0,0.0,4.391158011509106,7.228201000543777
DRMPPI,70,1.890032172203064,0.0,0.0,4.3999009935650975,7.592212001327425
DRMPPI,71,1.805383324623108,0.0,0.0,4.391348363133147,17.13091599958716
DRMPPI,72,1.805899739265442,0.0,0.0,4.4320629965513945,7.182180001109373
DRMPPI,73,1.8693315982818604,0.0,0.0,4.3181511471048,7.960455001011724
DRMPPI,74,1.868762731552124,0.0,0.0,4.448546562809497,7.359043000178644
DRMPPI,75,1.8591580390930176,0.0,0.0,4.35951394890435,8.684508000442293
DRMPPI,76,1.8682026863098145,0.0,0.0,4.394588669063523,7.816362001904054
DRMPPI,77,1.7983375787734985,0.0,0.0,4.419869855744764,7.253675001265947
DRMPPI,78,1.8437386751174927,0.0,0.0,4.40844106557779,8.110398997814627
DRMPPI,79,1.8197352886199951,0.0,0.0,4.499522922094911,7.991154998308048
DRMPPI,80,1.841368317604065,0.0,0.0,4.326124618994072,15.173858999332879
DRMPPI,81,1.8250936269760132,0.0,0.0,4.430530939484015,7.824175001587719
DRMPPI,82,1.8066749572753906,0.0,0.0,4.446403754409403,7.086115001584403
DRMPPI,83,1.8160730600357056,0.0,0.0,4.465146601432934,7.655743997020181
DRMPPI,84,1.8287458419799805,0.0,0.0,4.344834482995793,7.614065998495789
DRMPPI,85,1.8580390214920044,0.0,0.0,4.381796828005463,7.529459002398653
DRMPPI,86,1.8305622339248657,0.0,0.0,4.359268752159551,7.697200999245979
DRMPPI,87,1.847024917602539,0.0,0.0,4.356730906525627,7.893480000348063
DRMPPI,88,1.8137084245681763,0.0,0.0,4.41460771812126,8.59587000013562
DRMPPI,89,1.8804023265838623,0.0,0.0,4.303567197872326,7.967749999806983
DRMPPI,90,1.82365083694458,0.0,0.0,4.381370055489242,7.483511002646992
DRMPPI,91,1.8231946229934692,0.0,0.0,4.474278271896765,7.601532000990119
DRMPPI,92,1.8446091413497925,0.0,0.0,4.47855308954604,7.8261080016091
DRMPPI,93,1.7893203496932983,0.0,0.0,4.393094154540449,7.589906999783125
DRMPPI,94,1.8581669330596924,0.0,0.0,4.346997901331633,7.605913000588771
DRMPPI,95,1.8638248443603516,0.0,0.0,4.4317951269913465,7.236646000819746
DRMPPI,96,1.8736329078674316,0.0,0.0,4.378970299148932,8.086303998425137
DRMPPI,97,1.8233637809753418,0.0,0.0,4.471616773167625,13.792878999083769
DRMPPI,98,1.82199227809906,0.0,0.0,4.430453164037317,6.977451997954631
DRMPPI,99,1.8240898847579956,0.0,0.0,4.445124526275322,68.21329000013066
DRAMPPI,0,0.02215033583343029,1.0,1.0,5.200819248799235,76.33716100099264
DRAMPPI,1,0.08945988863706589,1.0,1.0,5.288922529434785,89.31402300004265
DRAMPPI,2,0.08867105096578598,1.0,1.0,5.3481616959907115,92.54501599934883
DRAMPPI,3,0.03967748209834099,1.0,1.0,5.308006771141663,85.87894900119863
DRAMPPI,4,0.04750147461891174,1.0,1.0,5.367948011844419,85.60812100040494
DRAMPPI,5,0.08682066202163696,1.0,1.0,5.369011481525376,90.48771200104966
DRAMPPI,6,0.030739638954401016,1.0,1.0,5.357475373195484,88.71899899895652
DRAMPPI,7,0.04473508149385452,1.0,1.0,5.469960107235238,90.24342900011106
DRAMPPI,8,0.09776634722948074,1.0,1.0,5.331257992074825,88.49184200153104
DRAMPPI,9,0.03567192703485489,1.0,1.0,5.325019954121672,90.71881899944856
DRAMPPI,10,0.026451006531715393,1.0,1.0,5.3897507367655635,93.63321700220695
DRAMPPI,11,0.07057439535856247,1.0,1.0,5.228505497099832,90.89260199834825
DRAMPPI,12,0.03370217978954315,1.0,1.0,5.404941684100777,90.60454100108473
DRAMPPI,13,0.01874636858701706,1.0,1.0,5.39655145118013,90.31838400187553
DRAMPPI,14,0.026108911260962486,1.0,1.0,5.40797902084887,88.96561800065683
DRAMPPI,15,0.05998086556792259,1.0,1.0,5.328968465444632,89.8353060001682
DRAMPPI,16,0.03334839642047882,1.0,1.0,5.517546529183164,89.7770869996748
DRAMPPI,17,0.03549414128065109,1.0,1.0,5.416744194924831,87.52527199976612
DRAMPPI,18,0.059232939034700394,1.0,1.0,5.598072828608565,175.57052499978454
DRAMPPI,19,0.0680045336484909,1.0,1.0,5.305766260600649,59.66183700002148
DRAMPPI,20,0.012420686893165112,1.0,1.0,5.353847425896674,57.90640999839525
DRAMPPI,21,0.02154814638197422,1.0,1.0,5.256203661090694,62.93843599996762
DRAMPPI,22,0.0667591542005539,1.0,1.0,5.477079558302648,65.38102400008938
DRAMPPI,23,0.08956773579120636,1.0,1.0,5.2429353101179,61.04905699976371
DRAMPPI,24,0.09732014685869217,1.0,1.0,5.269081986625679,60.74067900044611
DRAMPPI,25,0.07426141947507858,1.0,1.0,5.291542868129909,58.723740999994334
DRAMPPI,26,0.0993410274386406,1.0,1.0,5.554867679835297,59.59483599872328
DRAMPPI,27,0.06456952542066574,1.0,1.0,5.310784582979977,64.38051700024516
DRAMPPI,28,0.08705877512693405,1.0,1.0,5.248219002271071,126.39838000177406
