epsilon,Run,Seed,RunMinDistance,SafetyViolation,Collision,TotalQRCost,RunMaxComputeTimeMs
0.001,99,1349917978,-0.009369514882564545,1.0,1.0,6.9813733821501955,48.843716038390994
0.002,0,1501552845,-0.08349476754665375,1.0,1.0,7.442172873299569,58.59063216485083
0.002,1,488200390,-0.011908180080354214,1.0,1.0,6.805635415948927,48.87315398082137
0.002,2,1693606510,-0.09666886180639267,1.0,1.0,7.316370190354064,48.81824506446719
0.002,3,680233354,0.033227402716875076,0.0,0.0,6.7389203200582415,47.28515399619937
0.002,4,438466540,-0.09639819711446762,1.0,1.0,7.517888463800773,46.69288801960647
0.002,5,1712329280,0.04373936727643013,0.0,0.0,7.011549233691767,47.69852408207953
0.002,6,1380152455,-0.014862563461065292,1.0,1.0,6.644616963691078,47.988516045734286
0.002,7,1452245846,-0.10116327553987503,1.0,1.0,7.360359771293588,48.88940695673227
0.002,8,2122694021,0.08189386129379272,0.0,0.0,6.7580948394024745,48.93534607253969
0.002,9,839901363,-0.10243792831897736,1.0,1.0,7.103282586322166,49.57947111688554
0.002,10,1802651552,0.011505508795380592,0.0,0.0,6.789938065921888,48.73669706285
0.002,11,714712467,0.00030816084472462535,0.0,0.0,6.949147933162749,50.16998597420752
0.002,12,1218704077,0.017454570159316063,0.0,0.0,6.769735422800295,48.91409492120147
0.002,13,1284858263,-0.07166159898042679,1.0,1.0,6.394829938421026,48.91813709400594
0.002,14,457721135,0.09116563946008682,0.0,0.0,6.800022820942104,48.517205053940415
0.002,15,401008609,-0.09441814571619034,1.0,1.0,7.407317173900083,48.65417815744877
0.002,16,492064534,0.1418900340795517,0.0,0.0,6.689351655775681,49.074457958340645
0.002,17,1444732602,-0.02481035329401493,1.0,1.0,7.23363488598261,47.669986030086875
0.002,18,1317426686,0.006465048994868994,0.0,0.0,7.276587429572828,48.08036400936544
0.002,19,2022506251,-0.11239030212163925,1.0,1.0,7.788761489209719,47.30486706830561
0.002,20,1516459118,-0.08226733654737473,1.0,1.0,6.977119686547667,47.85694391466677
0.002,21,533103612,-0.10461413115262985,1.0,1.0,6.851900864043273,46.72570899128914
0.002,22,1964759878,0.10048744827508926,0.0,0.0,6.844836084870622,46.43288720399141
0.002,23,2037706756,-0.0582893081009388,1.0,1.0,6.582441976410337,46.261057956144214
0.002,24,1572889065,-0.030225759372115135,1.0,1.0,6.993368067662232,46.43588815815747
0.002,25,1432881518,0.06485261023044586,0.0,0.0,6.950133372214623,46.23623308725655
0.002,26,280516901,-0.07293403893709183,1.0,1.0,7.771839587134309,46.23569082468748
0.002,27,205939248,-0.10561678558588028,1.0,1.0,7.508232679218054,47.42577997967601
0.002,28,571904914,-0.0998944491147995,1.0,1.0,7.422577760298736,48.296556109562516
0.002,29,948843457,0.004858682863414288,0.0,0.0,7.073823661892675,48.18647215142846
0.002,30,155492488,0.05139877274632454,0.0,0.0,6.901233720011078,47.32669587247074
0.002,31,1903701130,0.11394017189741135,0.0,0.0,6.701996510382742,48.3131161890924
0.002,32,1017961266,0.019095787778496742,0.0,0.0,6.875896941288374,47.81302600167692
0.002,33,1497769985,-0.30000001192092896,1.0,1.0,7.849010671954602,47.781727043911815
0.002,34,456523489,0.11419150233268738,0.0,0.0,6.776754507794976,47.905763145536184
0.002,35,701095136,0.07968489080667496,0.0,0.0,6.868593662395142,47.6763010956347
0.002,36,249069576,-0.06762754917144775,1.0,1.0,6.836397999897599,47.319001983851194
0.002,37,1576098728,0.020510373637080193,0.0,0.0,6.7220519876573235,48.163949977606535
0.002,38,1662748500,-0.05459116771817207,1.0,1.0,7.656754591502249,46.52554611675441
0.002,39,472736216,0.02674419805407524,0.0,0.0,6.916722068330273,46.89506790600717
