Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalTrackingControlCost,TotalQSigmaInvStageCost,TotalQRStageCost,RunMaxComputeTimeMs
RAMPPI,28,-0.09234318137168884,1.0,1.0,7.668867961503565,7.668867961503565,7.668867961503565,19.613771932199597
RAMPPI,29,0.09950904548168182,0.0,0.0,6.551167271449231,6.551167271449231,6.551167271449231,19.2111749202013
RAMPPI,30,0.050222210586071014,0.0,0.0,6.778652969747782,6.778652969747782,6.778652969747782,18.903154879808426
RAMPPI,31,0.1276952028274536,0.0,0.0,6.686142120161094,6.686142120161094,6.686142120161094,19.746317993849516
RAMPPI,32,-0.1897459775209427,1.0,1.0,7.064064299105667,7.064064299105667,7.064064299105667,19.393610069528222
RAMPPI,33,-0.30000001192092896,1.0,1.0,7.00737604405731,7.00737604405731,7.00737604405731,29.932335950434208
RAMPPI,34,-0.13421383500099182,1.0,1.0,7.032002345891669,7.032002345891669,7.032002345891669,19.836249062791467
RAMPPI,35,0.05870860442519188,0.0,0.0,6.517908641486429,6.517908641486429,6.517908641486429,29.42517795599997
RAMPPI,36,-0.10173631459474564,1.0,1.0,7.335889900918119,7.335889900918119,7.335889900918119,19.231768092140555
RAMPPI,37,0.054778337478637695,0.0,0.0,6.807835099170916,6.807835099170916,6.807835099170916,24.524600943550467
RAMPPI,38,-0.10563990473747253,1.0,1.0,7.5093903915258124,7.5093903915258124,7.5093903915258124,19.28213401697576
RAMPPI,39,-0.11657413840293884,1.0,1.0,7.015232237870805,7.015232237870805,7.015232237870805,20.976318046450615
RAMPPI,40,-0.11730049550533295,1.0,1.0,7.403985174722038,7.403985174722038,7.403985174722038,19.538984866812825
RAMPPI,41,-0.30000001192092896,1.0,1.0,7.685856806114316,7.685856806114316,7.685856806114316,19.241297151893377
RAMPPI,42,-0.07748890668153763,1.0,1.0,7.240607723710127,7.240607723710127,7.240607723710127,19.223717972636223
RAMPPI,43,0.12159021198749542,0.0,0.0,6.700045467237942,6.700045467237942,6.700045467237942,19.747847924008965
RAMPPI,44,-0.26460695266723633,1.0,1.0,6.914156211074442,6.914156211074442,6.914156211074442,19.929840927943587
RAMPPI,45,-0.18211814761161804,1.0,1.0,7.4256635087076575,7.4256635087076575,7.4256635087076575,19.28296498954296
RAMPPI,46,-0.13858990371227264,1.0,1.0,7.080872060614638,7.080872060614638,7.080872060614638,27.039411012083292
RAMPPI,47,0.007253482472151518,0.0,0.0,6.609027169877663,6.609027169877663,6.609027169877663,26.208823081105947
RAMPPI,48,0.0668833777308464,0.0,0.0,6.518641052767634,6.518641052767634,6.518641052767634,19.510644022375345
RAMPPI,49,0.07641518115997314,0.0,0.0,6.505615861038677,6.505615861038677,6.505615861038677,18.99938704445958
RAMPPI,50,-0.11251425743103027,1.0,1.0,7.471745352610014,7.471745352610014,7.471745352610014,18.938650842756033
RAMPPI,51,-0.13371580839157104,1.0,1.0,7.354468648787588,7.354468648787588,7.354468648787588,19.25064600072801
RAMPPI,52,-0.14544710516929626,1.0,1.0,7.239749975153245,7.239749975153245,7.239749975153245,19.24351090565324
RAMPPI,53,-0.1420188695192337,1.0,1.0,7.179708485491574,7.179708485491574,7.179708485491574,19.208412850275636
RAMPPI,54,-0.1335771232843399,1.0,1.0,6.892361963051371,6.892361963051371,6.892361963051371,19.486079923808575
RAMPPI,55,-0.10195345431566238,1.0,1.0,6.685726217576303,6.685726217576303,6.685726217576303,32.37311798147857
RAMPPI,56,-0.12415031343698502,1.0,1.0,7.241520183975808,7.241520183975808,7.241520183975808,19.22504510730505
RAMPPI,57,0.06845265626907349,0.0,0.0,6.5900432945927605,6.5900432945927605,6.5900432945927605,24.631133070215583
RAMPPI,58,-0.0934879407286644,1.0,1.0,7.085627372027375,7.085627372027375,7.085627372027375,25.19638300873339
RAMPPI,59,-0.11672622710466385,1.0,1.0,7.223001432372257,7.223001432372257,7.223001432372257,19.899795996025205
RAMPPI,60,0.11477163434028625,0.0,0.0,6.632520230021328,6.632520230021328,6.632520230021328,19.284778041765094
RAMPPI,61,-0.11376580595970154,1.0,1.0,7.20267104357481,7.20267104357481,7.20267104357481,19.652550108730793
RAMPPI,62,-0.1259099841117859,1.0,1.0,7.007093386841007,7.007093386841007,7.007093386841007,19.854754908010364
RAMPPI,63,0.0931827500462532,0.0,0.0,6.6184768420644104,6.6184768420644104,6.6184768420644104,24.81994079425931
RAMPPI,64,0.04459144547581673,0.0,0.0,7.024609100888483,7.024609100888483,7.024609100888483,18.998112063854933
RAMPPI,65,0.06135942041873932,0.0,0.0,6.618229231913574,6.618229231913574,6.618229231913574,19.075216026976705
RAMPPI,66,0.08121510595083237,0.0,0.0,6.512273621628992,6.512273621628992,6.512273621628992,19.527951953932643
RAMPPI,67,-0.13975775241851807,1.0,1.0,7.259371463092975,7.259371463092975,7.259371463092975,19.971030997112393
RAMPPI,68,-0.11896524578332901,1.0,1.0,6.317927618976682,6.317927618976682,6.317927618976682,29.665865004062653
RAMPPI,69,-0.08984430879354477,1.0,1.0,7.333564754691906,7.333564754691906,7.333564754691906,39.96580792590976
RAMPPI,70,0.04772687330842018,0.0,0.0,6.431594501482323,6.431594501482323,6.431594501482323,19.176159985363483
RAMPPI,71,-0.03753960505127907,1.0,1.0,6.002808576216921,6.002808576216921,6.002808576216921,21.76468796096742
RAMPPI,72,0.06709004938602448,0.0,0.0,6.582922341651283,6.582922341651283,6.582922341651283,18.970682984218
RAMPPI,73,0.09361815452575684,0.0,0.0,6.580315084196627,6.580315084196627,6.580315084196627,19.019072176888585
RAMPPI,74,0.04064873233437538,0.0,0.0,6.7630489392904565,6.7630489392904565,6.7630489392904565,19.711318891495466
RAMPPI,75,-0.08026987314224243,1.0,1.0,6.457175734569319,6.457175734569319,6.457175734569319,35.94637685455382
RAMPPI,76,-0.14788196980953217,1.0,1.0,7.057052374817431,7.057052374817431,7.057052374817431,24.740027030929923
RAMPPI,77,-0.11496126651763916,1.0,1.0,7.485896659665741,7.485896659665741,7.485896659665741,23.69114593602717
RAMPPI,78,0.08903723210096359,0.0,0.0,6.681241208221763,6.681241208221763,6.681241208221763,24.89474811591208
RAMPPI,79,-0.09835168719291687,1.0,1.0,7.030428884434514,7.030428884434514,7.030428884434514,27.723744977265596
RAMPPI,80,-0.004643255844712257,1.0,1.0,6.498199653578922,6.498199653578922,6.498199653578922,25.803589029237628
RAMPPI,81,-0.09333565831184387,1.0,1.0,7.259115804103203,7.259115804103203,7.259115804103203,20.117645151913166
RAMPPI,82,-0.10072679072618484,1.0,1.0,6.6837815046310425,6.6837815046310425,6.6837815046310425,48.151064896956086
RAMPPI,83,-0.08760610967874527,1.0,1.0,7.190742184408009,7.190742184408009,7.190742184408009,19.59917601197958
RAMPPI,84,-0.30000001192092896,1.0,1.0,7.564492222853005,7.564492222853005,7.564492222853005,18.728973111137748
